year,prefecture,population,gdp2015,dis_expen,maintain_expen,restore_expen
2022,Okayama,1862000,***,1564255,11173067,1564250
2022,Hiroshima,2760000,***,27354841,12304170,27354841
2022,Yamaguchi,1313000,***,4141455,5133331,4141455
2022,Tokushima,704000,***,734887,8993686,734887
2022,Kagawa,934000,***,321346,5709373,321346
2022,Ehime,1306000,***,5544232,3965632,5541568
2022,Kochi,676000,***,5701607,6339904,5701607
2022,Fukuoka,5116000,***,11035328,7386118,11035328
2022,Saga,801000,***,7428262,2301166,7428262
2022,Nagasaki,1283000,***,5626033,5311768,5626033
2022,Kumamoto,1718000,***,48914832,5550339,48914832
2022,Oita,1107000,***,14599426,3879748,14599426
2022,Miyazaki,1052000,***,7397468,5076926,7397468
2022,Kagoshima,1563000,***,11420844,4971337,11420580
2022,Okinawa,1468000,***,1391215,2996540,1391215
2021,Hokkaido,5183000,20540923,7776730,41367298,7767566
2021,Aomori,1221000,4464610,1456132,16884444,1456132
2021,Iwate,1196000,4701411,33142982,15116313,33142982
2021,Miyagi,2290000,9649597,45945504,5903261,45945504
2021,Akita,945000,3545316,3166296,11986111,3166296
2021,Yamagata,1055000,4282525,9919003,13410412,9919003
2021,Fukushima,1812000,7844733,43682301,25237320,43682301
2021,Ibaraki,2852000,14539129,596975,8796943,594226
2021,Tochigi,1921000,9179132,12395951,6717877,12395951
2021,Gunma,1927000,9140951,10598694,5209160,10574335
2021,Saitama,7340000,23733625,1612046,14713877,1612046
2021,Chiba,6275000,20806993,1187147,2504622,1187147
2021,Tokyo,14010000,113685917,3160619,108724011,3160619
2021,Kanagawa,9236000,35287752,3539588,10947521,3538784
2021,Niigata,2177000,8973506,6243047,19662061,6243047
2021,Toyama,1025000,4881063,1170050,8664680,1170050
2021,Ishikawa,1125000,4680069,754878,6844127,754878
2021,Fukui,760000,3681511,1149164,6287561,1149164
2021,Yamanashi,805000,3702855,1213405,5234740,1213405
2021,Nagano,2033000,8624321,33221348,12120524,33221306
2021,Gifu,1961000,8010977,15809269,8125020,15809269
2021,Shizuoka,3608000,17530625,6098295,8362232,6098295
2021,Aichi,7517000,40585984,837613,23100062,837557
2021,Mie,1756000,8505160,4318937,4627054,4318937
2021,Shiga,1411000,6863734,454828,3714322,454828
2021,Kyoto,2561000,10905246,926493,3856427,926493
2021,Osaka,8806000,41320372,688790,25706170,688790
2021,Hyogo,5432000,22506291,1024233,10187575,1023909
2021,Nara,1315000,3767068,3316143,4594007,3316143
2021,Wakayama,914000,3765051,3644179,4997863,3643978
2021,Tottori,549000,1926339,2594385,5657097,2594385
2021,Shimane,665000,2670688,5008475,10865589,5008475
2021,Okayama,1876000,7652694,3584213,11734946,3583940
2021,Hiroshima,2780000,12128058,31296156,11556662,31296156
2021,Yamaguchi,1328000,6236572,3917959,5176993,3917959
2021,Tokushima,712000,3340186,1803584,8700917,1803584
2021,Kagawa,942000,3863785,249632,5721841,249632
2021,Ehime,1321000,5089931,9643200,3582756,9643200
2021,Kochi,684000,2376443,5499222,6475889,5499222
2021,Fukuoka,5124000,19457117,18999592,7177410,18999592
2021,Saga,806000,3179197,7883471,2291249,7883471
2021,Nagasaki,1297000,4620708,6871009,5213499,6871009
2021,Kumamoto,1728000,6417343,42534437,5225285,42534437
2021,Oita,1114000,4683887,14831877,4366429,14831877
2021,Miyazaki,1061000,3706513,7164357,4938172,7162199
2021,Kagoshima,1576000,5921471,15093240,4726806,15092054
2021,Okinawa,1468000,4373909,747433,3109779,747433
2020,Hokkaido,5224614,20075564,22056753,38911952,22035635
2020,Aomori,1237984,4453601,265445,13929206,265445
2020,Iwate,1210534,4713029,62647383,15239484,62647383
2020,Miyagi,2301996,9481184,76870333,4582032,76869106
