prefecture,month,mean_ntl
Aichi,2014-01-01,7.979899930070369
Aichi,2014-02-01,7.435153023928488
Aichi,2014-03-01,8.593099088094393
Aichi,2014-04-01,8.189298090381811
Aichi,2014-05-01,8.44684660583643
Aichi,2014-06-01,7.343859660455579
Aichi,2014-07-01,7.871491092389888
Aichi,2014-08-01,7.572170148160074
Aichi,2014-09-01,7.9165594382001165
Aichi,2014-10-01,7.361410905519873
Aichi,2014-11-01,7.751950755987435
Aichi,2014-12-01,8.237385796248972
Aichi,2015-01-01,7.6410294597711905
Aichi,2015-02-01,7.834525461082439
Aichi,2015-03-01,7.871516255864632
Aichi,2015-04-01,7.702718330294658
Aichi,2015-05-01,8.069858636633587
Aichi,2015-06-01,7.832400803416103
Aichi,2015-07-01,8.258546000492629
Aichi,2015-08-01,7.643265440149445
Aichi,2015-09-01,7.960965880007944
Aichi,2015-10-01,8.26937453778507
Aichi,2015-11-01,7.5578463975828125
Aichi,2015-12-01,8.251429863161352
Aichi,2016-01-01,7.845652051638659
Aichi,2016-02-01,7.680521651478977
Aichi,2016-03-01,7.2777260090217375
Aichi,2016-04-01,8.268234619788629
Aichi,2016-05-01,7.74514674847287
Aichi,2016-06-01,8.071647187395689
Aichi,2016-07-01,6.087936303046285
Aichi,2016-08-01,7.171266877233713
Aichi,2016-09-01,8.316122283971191
Aichi,2016-10-01,7.356034275813007
Aichi,2016-11-01,7.20176549289271
Aichi,2016-12-01,8.343012719343452
Aichi,2017-01-01,8.247200224541727
Aichi,2017-02-01,8.15476924404952
Aichi,2017-03-01,7.887136707599843
Aichi,2017-04-01,7.74963091319767
Aichi,2017-05-01,8.795974373759977
Aichi,2017-06-01,8.448290702126142
Aichi,2017-07-01,7.282943006445083
Aichi,2017-08-01,7.986449465298
Aichi,2017-09-01,7.828667604102676
Aichi,2017-10-01,8.46971997949713
Aichi,2017-11-01,7.81937180476795
Aichi,2017-12-01,7.837726106424122
Aichi,2018-01-01,8.432843838939817
Aichi,2018-02-01,8.092169567685483
Aichi,2018-03-01,8.53448004249445
Aichi,2018-04-01,8.173439943256826
Aichi,2018-05-01,8.797546271335408
Aichi,2018-06-01,7.767561626410834
Aichi,2018-07-01,7.705004511922588
Aichi,2018-08-01,7.380567026662691
Aichi,2018-09-01,7.133244707865784
Aichi,2018-10-01,7.517171429450171
Aichi,2018-11-01,7.729705966409327
Aichi,2018-12-01,7.933341530558724
Aichi,2019-01-01,7.664343907665857
Aichi,2019-02-01,7.268474742774585
Aichi,2019-03-01,7.991637825882541
Aichi,2019-04-01,7.798731873326038
Aichi,2019-05-01,8.1566222749858035
Aichi,2019-06-01,8.414968906094126
Aichi,2019-07-01,7.93320365355101
Aichi,2019-08-01,7.176609820613697
Aichi,2019-09-01,8.036760275966644
Aichi,2019-10-01,8.6100815006296
Aichi,2019-11-01,7.787619005611182
Aichi,2019-12-01,7.739279386053192
Aichi,2020-01-01,6.630668072454276
Aichi,2020-02-01,8.225218216919139
Aichi,2020-03-01,7.834357442047161
Aichi,2020-04-01,7.988081319907897
Aichi,2020-05-01,8.490661677865948
Aichi,2020-06-01,8.286729808096117
Aichi,2020-07-01,7.755725595956161
Aichi,2020-08-01,7.306009495477481
Aichi,2020-09-01,7.682901015942196
Aichi,2020-10-01,7.45623312347452
Aichi,2020-11-01,8.166597970296271
Aichi,2020-12-01,7.0429233161615254
Aichi,2021-01-01,8.08328536188875
Aichi,2021-02-01,7.495178229007909
Aichi,2021-03-01,8.32988237262571
Aichi,2021-04-01,7.899518712665479
Aichi,2021-05-01,6.409458399234917
Aichi,2021-06-01,8.565812233291654
Aichi,2021-07-01,7.2963804357822335
Aichi,2021-08-01,8.103082548579073
Aichi,2021-09-01,6.432995062934894
Aichi,2021-10-01,7.677888986926485
Aichi,2021-11-01,7.934128419237874
Aichi,2021-12-01,7.673583498079627
Aichi,2022-01-01,8.005858514911237
Aichi,2022-02-01,8.141205064525531
Aichi,2022-03-01,7.827756946684782
Aichi,2022-04-01,7.940316690350555
Aichi,2022-05-01,8.019916415971215
Aichi,2022-06-01,7.756333036365632
Aichi,2022-07-01,9.14785952217513
Aichi,2022-08-01,5.794884958659508
Aichi,2022-09-01,6.946123828741828
Aichi,2022-10-01,7.685105198634532
Aichi,2022-11-01,7.306285018380114
Aichi,2022-12-01,8.194592361820733
Aichi,2023-01-01,8.005268525223139
Aichi,2023-02-01,8.712592055399549
Aichi,2023-03-01,8.018134914157221
Aichi,2023-04-01,7.1644793529048725
Aichi,2023-05-01,8.570684599661238
Aichi,2023-06-01,7.734978528413493
Aichi,2023-07-01,7.905154035048034
Aichi,2023-08-01,7.5626160075325535
Aichi,2023-09-01,7.752768621396448
Aichi,2023-10-01,7.797258703034766
Aichi,2023-11-01,8.4450520718772
Aichi,2023-12-01,7.686135887917712
Aichi,2024-01-01,6.503785395983102
Aichi,2024-02-01,7.876870825059695
Aichi,2024-03-01,7.91534140645433
Aichi,2024-04-01,8.161540857805763
Aichi,2024-05-01,8.859496528881666
Aichi,2024-06-01,8.204481287944791
Aichi,2024-07-01,7.89399380284588
Aichi,2024-08-01,7.945167199878925
Aichi,2024-09-01,7.273195378456889
Aichi,2024-10-01,8.18122390947579
Aichi,2024-11-01,7.757333809498058
Aichi,2024-12-01,8.15069104896899
Aichi,2025-01-01,7.189648549161862
Aichi,2025-02-01,8.437622490815876
Aichi,2025-03-01,7.0153466885659
Aichi,2025-04-01,8.828632898529657
Aichi,2025-05-01,8.257742147344858
Aichi,2025-06-01,7.708447075115104
Aichi,2025-07-01,8.11658622566827
Aichi,2025-08-01,7.825877586406258
Aichi,2025-09-01,8.076930944791005
Aichi,2025-10-01,7.69811270652507
Aichi,2025-11-01,7.252645142354729
Aichi,2025-12-01,8.143949615549733
Aichi,2026-01-01,8.593458297780158
Aichi,2026-02-01,8.399998530044822
Aichi,2026-03-01,8.67368077118129
Akita,2014-01-01,1.183883603498891
Akita,2014-02-01,1.0800551175088304
Akita,2014-03-01,0.5751851645585787
Akita,2014-04-01,0.32740213236405535
Akita,2014-05-01,0.4185027589037907
Akita,2014-06-01,0.4028729527090976
Akita,2014-07-01,0.40100445200929546
Akita,2014-08-01,0.5735728749413603
Akita,2014-09-01,0.43624192888743146
Akita,2014-10-01,0.3737483240854768
Akita,2014-11-01,0.1323855499402674
Akita,2014-12-01,1.4072507920630573
Akita,2015-01-01,1.0117032159926718
Akita,2015-02-01,0.8278383163976992
Akita,2015-03-01,0.41600577747944895
Akita,2015-04-01,0.311508953583803
Akita,2015-05-01,0.4005375479403684
Akita,2015-06-01,0.30709416454926286
Akita,2015-07-01,0.3446147792351569
Akita,2015-08-01,0.3704710992850639
Akita,2015-09-01,0.42954908395380903
Akita,2015-10-01,0.3365042257927921
Akita,2015-11-01,0.3900123153092842
Akita,2015-12-01,0.5124440343162118
Akita,2016-01-01,1.0148739262639537
Akita,2016-02-01,1.0811543099696463
Akita,2016-03-01,0.47056868007073127
Akita,2016-04-01,0.25987599457548094
Akita,2016-05-01,0.3988844021405103
Akita,2016-06-01,0.3411038549013754
Akita,2016-07-01,0.2636112346599657
Akita,2016-08-01,0.4025911295647087
Akita,2016-09-01,0.3795391975431741
Akita,2016-10-01,0.4146118981204845
Akita,2016-11-01,0.36218883735951574
Akita,2016-12-01,0.5966990667632487
Akita,2017-01-01,1.220141545152289
Akita,2017-02-01,1.0822157224232978
Akita,2017-03-01,0.681855503684236
Akita,2017-04-01,0.5103974556004118
Akita,2017-05-01,0.6015412269833186
Akita,2017-06-01,0.5178646091622895
Akita,2017-07-01,0.5959283852276885
Akita,2017-08-01,0.6265472262843153
Akita,2017-09-01,0.5424631994551171
Akita,2017-10-01,0.6932392252639914
Akita,2017-11-01,0.8385327762884183
Akita,2017-12-01,1.3115812024732922
Akita,2018-01-01,1.090658915172651
Akita,2018-02-01,1.4640587621615382
Akita,2018-03-01,0.6729469038637357
Akita,2018-04-01,0.4454904082219614
Akita,2018-05-01,0.5647657572565647
Akita,2018-06-01,0.4539927724415612
Akita,2018-07-01,0.4298219194585157
Akita,2018-08-01,0.6154143215637791
Akita,2018-09-01,0.5005312606036135
Akita,2018-10-01,0.5873459792165016
Akita,2018-11-01,0.532247534970772
Akita,2018-12-01,0.931102535480145
Akita,2019-01-01,1.1636094154662138
Akita,2019-02-01,1.0692893582049174
Akita,2019-03-01,0.6201910482211435
Akita,2019-04-01,0.5119735284482063
Akita,2019-05-01,0.6280622953249939
Akita,2019-06-01,0.5717211163919425
Akita,2019-07-01,0.5373076612283535
Akita,2019-08-01,0.5291586301216669
Akita,2019-09-01,0.52035268132325
Akita,2019-10-01,0.6207638860276071
Akita,2019-11-01,0.5981823427292495
Akita,2019-12-01,0.8283020757075967
Akita,2020-01-01,0.7417333505578232
Akita,2020-02-01,0.6746393885878906
Akita,2020-03-01,0.5056802309489785
Akita,2020-04-01,0.5079616652234947
Akita,2020-05-01,0.7384625509016172
Akita,2020-06-01,0.690279283368706
Akita,2020-07-01,0.6814508993115244
Akita,2020-08-01,0.6476328639924844
Akita,2020-09-01,0.5241154397676259
Akita,2020-10-01,0.5760330302366707
Akita,2020-11-01,0.591140641810467
Akita,2020-12-01,0.8745985740949834
Akita,2021-01-01,1.3457912704538433
Akita,2021-02-01,1.0395280223707446
Akita,2021-03-01,0.6505229813303967
Akita,2021-04-01,0.5548379634937343
Akita,2021-05-01,0.6613783869493202
Akita,2021-06-01,0.6566635301685311
Akita,2021-07-01,0.6727798473195906
Akita,2021-08-01,0.6437707000131044
Akita,2021-09-01,0.5266253808960144
Akita,2021-10-01,0.6694702127015902
Akita,2021-11-01,0.4629351267584817
Akita,2021-12-01,0.7303975055107428
Akita,2022-01-01,1.3047201424622028
Akita,2022-02-01,1.2331506429121448
Akita,2022-03-01,0.777445055482252
Akita,2022-04-01,0.6444091888698619
Akita,2022-05-01,0.7480265752204179
Akita,2022-06-01,0.7174718334302488
Akita,2022-07-01,0.26989706929828766
Akita,2022-08-01,0.5217448831880148
Akita,2022-09-01,0.5727624926422993
Akita,2022-10-01,0.5747773850332761
Akita,2022-11-01,0.5655821237559471
Akita,2022-12-01,1.1380805345797944
Akita,2023-01-01,1.3311832911997206
Akita,2023-02-01,1.1918254109137243
Akita,2023-03-01,0.6401283742767659
Akita,2023-04-01,0.605610755862448
Akita,2023-05-01,0.7843651041050209
Akita,2023-06-01,0.8553976186406279
Akita,2023-07-01,0.7749332906227008
Akita,2023-08-01,0.68452070814843
Akita,2023-09-01,0.6374312560311921
Akita,2023-10-01,0.6265724346236116
Akita,2023-11-01,0.5588742221749399
Akita,2023-12-01,0.5242842882736277
Akita,2024-01-01,0.6834161388064648
Akita,2024-02-01,0.6982338888256662
Akita,2024-03-01,0.6105307670511015
Akita,2024-04-01,0.6623640810078681
Akita,2024-05-01,0.6684535927245795
Akita,2024-06-01,0.7382776988667196
Akita,2024-07-01,0.413350720588453
Akita,2024-08-01,0.6667716149822636
Akita,2024-09-01,0.6127472755281014
Akita,2024-10-01,0.684965774143631
Akita,2024-11-01,0.6122644887982611
Akita,2024-12-01,0.796463471061104
Akita,2025-01-01,0.7889028229301293
Akita,2025-02-01,0.9647336628526814
