"eq_id","prefecture","mean_pga","max_pga"
"usb000s1nc","Fukui",NA,NA
"usb000s1nc","Fukuoka",NA,NA
"usb000s1nc","Fukushima",NA,NA
"usb000s1nc","Gifu",NA,NA
"usb000s1nc","Gunma",NA,NA
"usb000s1nc","Hiroshima",NA,NA
"usb000s1nc","Hokkaido",1.06474494934082,1.63533463176748
"usb000s1nc","Hyogo",NA,NA
"usb000s1nc","Ibaraki",NA,NA
"usb000s1nc","Ishikawa",NA,NA
"usb000s1nc","Iwate",1.38440418243408,2.21758622460213
"usb000s1nc","Kagawa",NA,NA
"usb000s1nc","Kagoshima",NA,NA
"usb000s1nc","Kanagawa",NA,NA
"usb000s1nc","Kochi",NA,NA
"usb000s1nc","Kumamoto",NA,NA
"usb000s1nc","Kyoto",NA,NA
"usb000s1nc","Mie",NA,NA
"usb000s1nc","Miyagi",NA,NA
"usb000s1nc","Miyazaki",NA,NA
"usb000s1nc","Nagano",NA,NA
"usb000s1nc","Nagasaki",NA,NA
"usb000s1nc","Nara",NA,NA
"usb000s1nc","Niigata",NA,NA
"usb000s1nc","Oita",NA,NA
"usb000s1nc","Okayama",NA,NA
"usb000s1nc","Okinawa",NA,NA
"usb000s1nc","Osaka",NA,NA
"usb000s1nc","Saga",NA,NA
"usb000s1nc","Saitama",NA,NA
"usb000s1nc","Shiga",NA,NA
"usb000s1nc","Shimane",NA,NA
"usb000s1nc","Shizuoka",NA,NA
"usb000s1nc","Tochigi",NA,NA
"usb000s1nc","Tokushima",NA,NA
"usb000s1nc","Tokyo",NA,NA
"usb000s1nc","Tottori",NA,NA
"usb000s1nc","Toyama",NA,NA
"usb000s1nc","Wakayama",NA,NA
"usb000s1nc","Yamagata",NA,NA
"usb000s1nc","Yamaguchi",NA,NA
"usb000s1nc","Yamanashi",NA,NA
"usb000skys","Aichi",NA,NA
"usb000skys","Akita",0.298410087823868,0.603280663490295
"usb000skys","Aomori",0.680680513381958,1.54129683971405
"usb000skys","Chiba",NA,NA
"usb000skys","Ehime",NA,NA
"usb000skys","Fukui",NA,NA
"usb000skys","Fukuoka",NA,NA
"usb000skys","Fukushima",NA,NA
"usb000skys","Gifu",NA,NA
"usb000skys","Gunma",NA,NA
"usb000skys","Hiroshima",NA,NA
"usb000skys","Hokkaido",0.477234572172165,2.15509676933289
"usb000skys","Hyogo",NA,NA
"usb000skys","Ibaraki",NA,NA
"usb000skys","Ishikawa",NA,NA
"usb000skys","Iwate",0.464879065752029,1.34785270690918
"usb000skys","Kagawa",NA,NA
"usb000skys","Kagoshima",NA,NA
"usb000skys","Kanagawa",NA,NA
"usb000skys","Kochi",NA,NA
"usb000skys","Kumamoto",NA,NA
"usb000skys","Kyoto",NA,NA
"usb000skys","Mie",NA,NA
"usb000skys","Miyagi",0.220201820135117,0.367826104164124
"usb000skys","Miyazaki",NA,NA
"usb000skys","Nagano",NA,NA
"usb000skys","Nagasaki",NA,NA
"usb000skys","Nara",NA,NA
"usb000skys","Niigata",NA,NA
"usb000skys","Oita",NA,NA
"usb000skys","Okayama",NA,NA
"usb000skys","Okinawa",NA,NA
"usb000skys","Osaka",NA,NA
"usb000skys","Saga",NA,NA
"usb000skys","Saitama",NA,NA
"usb000skys","Shiga",NA,NA
"usb000skys","Shimane",NA,NA
