eq_id,prefecture,mean_pga,max_pga,date,depth,magnitude
us7000dl6y,Fukushima,5.48567533493042,23.0518446234387,2021-03-20,43,7
us7000dl6y,Ibaraki,4.06442499160767,7.55169170792877,2021-03-20,43,7
us7000dl6y,Iwate,7.27644157409668,35.1890698709513,2021-03-20,43,7
us7000dl6y,Miyagi,15.9993028640747,54.4646265517678,2021-03-20,43,7
us7000dl6y,Tochigi,2.15685200691223,5.83321518108914,2021-03-20,43,7
us7000dl6y,Yamagata,3.15843462944031,10.6875705268168,2021-03-20,43,7
us7000dz5t,Fukushima,2.28141403198242,7.95823120805127,2021-05-01,43,6.9
us7000dz5t,Iwate,2.37847065925598,9.43122620118676,2021-05-01,43,6.9
us7000dz5t,Miyagi,7.52089023590088,18.1568436308557,2021-05-01,43,6.9
us7000dz5t,Yamagata,2.59466695785522,5.38119194938111,2021-05-01,43,6.9
us6000gaq5,Kagoshima,0.397600650787354,14.6877603223481,2021-12-09,7,6
us7000gdwz,Ehime,2.94776487350464,24.0359776322515,2022-01-21,39,6.3
us7000gdwz,Kochi,2.03519868850708,17.0376816494398,2022-01-21,39,6.3
us7000gdwz,Kumamoto,4.10333442687988,15.6365473979003,2022-01-21,39,6.3
us7000gdwz,Miyazaki,6.66608381271362,31.3524087289367,2022-01-21,39,6.3
us7000gdwz,Oita,7.5812554359436,27.0965836839173,2022-01-21,39,6.3
us6000h519,Akita,3.14235401153564,15.7292954993059,2022-03-16,41,7.3
us6000h519,Aomori,2.07551646232605,6.60085914959656,2022-03-16,41,7.3
us6000h519,Chiba,4.60135841369629,12.7847401019694,2022-03-16,41,7.3
us6000h519,Fukushima,18.2463760375977,65.1110840018985,2022-03-16,41,7.3
us6000h519,Gunma,2.68784761428833,8.43772546047448,2022-03-16,41,7.3
us6000h519,Ibaraki,14.5025844573975,28.9199575635325,2022-03-16,41,7.3
us6000h519,Iwate,11.5804347991943,41.1283411726967,2022-03-16,41,7.3
us6000h519,Kanagawa,2.6565043926239,6.29953595104896,2022-03-16,41,7.3
us6000h519,Miyagi,29.9593887329102,65.4549030653574,2022-03-16,41,7.3
us6000h519,Niigata,1.67957186698914,5.0495426705169,2022-03-16,41,7.3
us6000h519,Saitama,4.86890316009521,9.24785281497689,2022-03-16,41,7.3
us6000h519,Tochigi,8.59125995635986,21.6898754371795,2022-03-16,41,7.3
us6000h519,Tokyo,3.41052055358887,6.89864252286706,2022-03-16,41,7.3
us6000h519,Yamagata,6.74359655380249,22.3444491154619,2022-03-16,41,7.3
us6000jrjl,Hokkaido,1.84508168697357,11.8306432084161,2023-02-25,55,6
us6000k9mb,Ishikawa,7.76502275466919,66.3429345685032,2023-05-05,10,6.2
us6000k9mb,Niigata,1.61678087711334,6.73302684363618,2023-05-05,10,6.2
us6000k9mb,Toyama,2.3413987159729,6.49158794436312,2023-05-05,10,6.2
us7000k46f,Chiba,4.87673711776733,9.0907784694157,2023-05-26,42,6.1
us7000k46f,Ibaraki,2.22046208381653,6.40719191261976,2023-05-26,42,6.1
us7000k7su,Hokkaido,2.11987495422363,5.71910462281328,2023-06-11,121,6.2
us6000lch5,Tokyo,2.73231482505798,7.05932679603944,2023-10-03,10,6
us6000lcz1,Tokyo,2.21327567100525,6.89374450888902,2023-10-05,10,6.1
us6000m0xl,Fukui,4.96721792221069,15.6515898277896,2024-01-01,10,7.5
us6000m0xl,Fukushima,2.1629102230072,7.65469378185093,2024-01-01,10,7.5
us6000m0xl,Gifu,3.94379591941833,13.5464862745276,2024-01-01,10,7.5
us6000m0xl,Gunma,1.91552293300629,5.86513779964466,2024-01-01,10,7.5
us6000m0xl,Ishikawa,47.0982818603516,166.903009258809,2024-01-01,10,7.5
