eq_id,prefecture,date,baseline,baseline_type,recovery_days,first_event,ntl_decline_ratio,mean_pga,max_pga,magnitude,depth,econ_year,population,gdp2015,dis_expen,maintain_expen,restore_expen
us20005i1a,Kumamoto,2016-04-14,0.9514966169816768,carry_forward,1,new_earthquake,0.16858657665237134,5.75334692001343,21.7906901952496,6,8,2015,1786170,5842381,3825417,5740163,3825417
us20005iis,Kumamoto,2016-04-15,0.9514966169816768,carry_forward,169,recovered,0.16858657665237134,27.1433277130127,98.3651632736797,7,10,2015,1786170,5842381,3825417,5740163,3825417
us7000gdwz,Kumamoto,2022-01-21,1.1441095755617712,new_baseline,11,recovered,0.02852865612404873,4.10333442687988,15.6365473979003,6.3,39,2021,1728000,6417343,42534437,5225285,42534437
us20002et4,Miyagi,2015-05-12,1.558807561256983,new_baseline,173,recovered,0.0487712115629978,6.27780675888062,23.950594357976,6.8,35,2014,2335000,9360976,121662465,2749045,121653071
us600050if,Miyagi,2019-08-04,1.6359432824025737,carry_forward,58,recovered,0.11630640001762713,2.53284955024719,5.26522148330687,6.3,38,2018,2320000,10026724,122396445,5088121,122396445
us7000903m,Miyagi,2020-04-19,1.5643211490956888,new_baseline,12,recovered,0.036906426600193,2.89846587181091,8.66245721526441,6.3,38,2019,2312000,9813003,90382845,3833527,90382845
us6000dher,Miyagi,2021-02-13,2.3739129837745443,new_baseline,35,new_earthquake,0.1484745922358213,19.9521713256836,43.5846458452772,7.1,43.98,2020,2301996,9481184,76870333,4582032,76869106
us7000dl6y,Miyagi,2021-03-20,2.3739129837745443,carry_forward,42,new_earthquake,0.2695451294749738,15.9993028640747,54.4646265517678,7,43,2020,2301996,9481184,76870333,4582032,76869106
us7000dz5t,Miyagi,2021-05-01,2.3739129837745443,carry_forward,245,recovered,0.28379237124660833,7.52089023590088,18.1568436308557,6.9,43,2020,2301996,9481184,76870333,4582032,76869106
us6000h519,Miyagi,2022-03-16,2.16675525509125,new_baseline,291,recovered,0.14104018847753438,29.9593887329102,65.4549030653574,7.3,41,2021,2290000,9649597,45945504,5903261,45945504
us20005hzn,Miyazaki,2016-04-14,0.4469169121384564,new_baseline,1,new_earthquake,0.1825040936730842,3.26580619812012,9.15847912858742,6.2,9,2015,1104069,3650369,2534776,5613498,2534776
us20005i1a,Miyazaki,2016-04-14,0.4469169121384564,carry_forward,1,new_earthquake,0.1825040936730842,1.98577964305878,5.67959135046391,6,8,2015,1104069,3650369,2534776,5613498,2534776
us20005iis,Miyazaki,2016-04-15,0.4469169121384564,carry_forward,16,recovered,0.1825040936730842,7.90656709671021,24.9667536982359,7,10,2015,1104069,3650369,2534776,5613498,2534776
us7000gdwz,Miyazaki,2022-01-21,0.6720690201708337,new_baseline,11,recovered,0.03175924842194248,6.66608381271362,31.3524087289367,6.3,39,2021,1061000,3706513,7164357,4938172,7162199
usb000syza,Nagano,2014-11-22,0.5853394910361392,new_baseline,9,recovered,0.3793438325761798,3.00549912452698,17.6875978152747,6.2,9,2013,2122000,7750925,2473035,12271457,2473035
us20005hzn,Nagasaki,2016-04-14,1.160603507577738,new_baseline,1,new_earthquake,0.1299907998249946,1.67425382137299,8.52982367598918,6.2,9,2015,1377187,4498483,1194765,5399064,1194765
us20005iis,Nagasaki,2016-04-15,1.160603507577738,carry_forward,47,recovered,0.1299907998249946,3.80942964553833,15.2232126370695,7,10,2015,1377187,4498483,1194765,5399064,1194765
usb000syza,Niigata,2014-11-22,0.7071165711612797,new_baseline,9,recovered,0.4393653770098987,1.21659541130066,11.800655510834,6.2,9,2013,2336000,8781217,20582287,20198423,20561993
us6000h519,Niigata,2022-03-16,1.349140317124222,new_baseline,260,recovered,0.2004251591669475,1.67957186698914,5.0495426705169,7.3,41,2021,2177000,8973506,6243047,19662061,6243047
us20005hzn,Oita,2016-04-14,0.7738480431530591,new_baseline,1,new_earthquake,0.09100488440145418,2.40645551681519,9.37354958083143,6.2,9,2015,1166338,4429898,1371882,2605609,1371882
us20005iis,Oita,2016-04-15,0.7738480431530591,carry_forward,16,recovered,0.09100488440145418,11.1323070526123,48.1865839361237,7,10,2015,1166338,4429898,1371882,2605609,1371882
us7000gdwz,Oita,2022-01-21,1.0665209175638477,new_baseline,11,recovered,0.0553105627586374,7.5812554359436,27.0965836839173,6.3,39,2021,1114000,4683887,14831877,4366429,14831877
us20005hzn,Saga,2016-04-14,1.6288042477007958,new_baseline,1,new_earthquake,0.14237516300421998,2.68218374252319,7.38573911213743,6.2,9,2015,832832,2954221,371461,1646417,371461
us20005iis,Saga,2016-04-15,1.6288042477007958,carry_forward,230,recovered,0.14237516300421998,6.24985837936401,15.1257004586749,7,10,2015,832832,2954221,371461,1646417,371461
us6000h519,Saitama,2022-03-16,7.842625132418991,new_baseline,16,recovered,0.04416821503963521,4.86890316009521,9.24785281497689,7.3,41,2021,7340000,23733625,1612046,14713877,1612046
us7000dl6y,Tochigi,2021-03-20,1.744873878307376,carry_forward,12,recovered,0.05228026135463384,2.15685200691223,5.83321518108914,7,43,2020,1933146,8926503,26888691,6526909,26888691
us6000h519,Tochigi,2022-03-16,1.9165043487238624,new_baseline,77,recovered,0.06091109756374802,8.59125995635986,21.6898754371795,7.3,41,2021,1921000,9179132,12395951,6717877,12395951
usb000q9sv,Tokyo,2014-05-04,20.044320289094433,new_baseline,211,recovered,0.0317231387219411,2.57626295089722,6.4722934511987,6,153,2013,13307000,106210999,2487195,88429436,2487195
us6000h519,Tokyo,2022-03-16,22.2834101749497,new_baseline,16,recovered,0.05362121043001107,3.41052055358887,6.89864252286706,7.3,41,2021,14010000,113685917,3160619,108724011,3160619
usb000syza,Toyama,2014-11-22,1.2055238822443757,new_baseline,9,recovered,0.158458454558098,1.67281913757324,8.66042107793169,6.2,9,2013,1077000,4437775,763731,5967328,763731
us7000dl6y,Yamagata,2021-03-20,1.2920469897501854,carry_forward,42,new_earthquake,0.3593594105174463,3.15843462944031,10.6875705268168,7,43,2020,1068027,4238771,9708485,11909960,9708485
us7000dz5t,Yamagata,2021-05-01,1.2920469897501854,carry_forward,245,recovered,0.3850299789308316,2.59466695785522,5.38119194938111,6.9,43,2020,1068027,4238771,9708485,11909960,9708485
us6000h519,Yamagata,2022-03-16,1.5268411757895226,new_baseline,291,recovered,0.2924622218335404,6.74359655380249,22.3444491154619,7.3,41,2021,1055000,4282525,9919003,13410412,9919003
